projectName,creationDate,creationCommitHash,type,squid,component,severity,startLine,endLine,resolution,status,message,effort,debt,author
zeebe-test-template-java,2020-02-16T18:39:10+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S1602,:src/test/java/io/zeebe/WorkflowTest.java,MINOR,49,49,null,OPEN,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),5min,5min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:38:04+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S1612,:src/test/java/io/zeebe/fixtures/ClientRule.java,MINOR,16,16,null,OPEN,Replace this lambda with a method reference. (sonar.java.source not set. Assuming 8 or greater.),2min,2min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:38:04+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S1215,:src/test/java/io/zeebe/fixtures/EmbeddedBrokerRule.java,CRITICAL,38,38,null,OPEN,"Don't try to be smarter than the JVM, remove this call to run the garbage collector.",30min,30min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:38:04+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S00112,:src/test/java/io/zeebe/fixtures/EmbeddedBrokerRule.java,MAJOR,49,49,null,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:38:04+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,BUG,squid:S2142,:src/test/java/io/zeebe/fixtures/EmbeddedBrokerRule.java,MAJOR,57,57,null,OPEN,"Either re-interrupt this method or rethrow the ""InterruptedException"".",15min,15min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:38:04+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S1612,:src/test/java/io/zeebe/fixtures/ZeebeTestRule.java,MINOR,30,30,null,OPEN,Replace this lambda with a method reference. (sonar.java.source not set. Assuming 8 or greater.),2min,2min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:38:04+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S1602,:src/test/java/io/zeebe/fixtures/ZeebeTestRule.java,MINOR,85,85,null,OPEN,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),5min,5min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:38:04+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,BUG,squid:S2142,:src/test/java/io/zeebe/fixtures/ZeebeTestRule.java,MAJOR,111,111,null,OPEN,"Either re-interrupt this method or rethrow the ""InterruptedException"".",15min,15min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:27:11+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S1602,:src/test/java/io/zeebe/WorkflowTest.java,MINOR,49,49,FIXED,CLOSED,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),5min,5min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:26:02+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S1612,:src/test/java/io/zeebe/fixtures/ClientRule.java,MINOR,16,16,FIXED,CLOSED,Replace this lambda with a method reference. (sonar.java.source not set. Assuming 8 or greater.),2min,2min,Philipp Ossler
zeebe-test-template-java,2020-02-16T18:26:02+0200,056e93f859f64e7acefcf760e5a3b15bb8a8f0ac,CODE_SMELL,squid:S00112,:src/test/java/io/zeebe/fixtures/EmbeddedBrokerRule.java,MAJOR,49,49,FIXED,CLOSED,Define and throw a dedicated exception instead of using a generic one.,20min,20min,Philipp Ossler
